请 您好 请 说   诶 你好 我 问 一下 我 这个 号码 的话 办理 宽带 的话 怎么 个 办理   本 机要 申请 宽带 呃 先 新装 的 吗 是 吗   嗯   您 不用 挂 电话 我 帮 您 转到 宽带 专家 这边 给 您 做 申请 一下 我们 专家 为您服务
高兴 为您服务   呃 我 一个 宽带 去 就是 要 要 叫 我 续约   宽带 是 这个 手机号码 的 宽带 毛钱   唉 对   我 看 一下 噢 因为 您 这个 宽带 是 到 这个 月 月底 到期 了 就是   我 我 我 我 这 里面 没有 续约 的 那么 我 我 到 营业厅 去 办过 没有 包是 吗
您好 很 高兴 为您服务 好 的   哎 你好 我 想 问 一下 那个 一百二十元 的 宽带 怎么 申请 的   一百二十 的 是 吗   就是说 你们 这边 不是 一年 一百二 吗 这个 宽带   啊 那 你 指令 详细 的 才能 办 的 您 哪个 小区   呃 宝山区 的
您好 很 高兴 为您服务 什么   等 一下 我 是 在 现在 在 宁波 吗 我 说 你们 这边 宽带 怎么 办理   宁波 那 您 要 打 当地 电话 我 这边 上海 查询 不了 五   噢 能 转 一下 吗   呃 这个 我 这边 转 不了 您 这 号码 就 上 的 您 要么 先 重新 幺 零零 八六 前面 加 当地 的 区 号 您 再 重新 拨打 一下   噢 就是 先六 幺 七号 幺 幺 零零 八六是 吧
六 您好 很 高兴 为您服务   啊 你好 我 想 请问 一下 就是 本地 的 那个 电话号码 手机号 然后 想 呃 呃 报 现在 又 要 怎么 办理   再见 嗯 办 宽带 的话 我们 现在 最低 二十 兆 然后 一年 的话 呢 是 七百 六 然后 一次性 送 两百 的 话费 或者 两年 八百 八   啊 不好意思 您 再说 一遍   一年 的话 七百 六 一次性 送 两百 的 话费 或者 直接 两年 八百 八   啊 是 这样 他 是 有 手机号 的 手机 最低 消费 它 是 一百五十 八 的 手机 不 就是 可以 直接 免费 办 的 吗
您好 很 高兴 为您服务   唉 你好 呃 我 我 现在 网上 自己 嗯 你们 发给 我 的 那个 电子 发票 当然 它 是 没有 纳税人 识别 号 的 呃 我 是 怎么 添加 呢   我 帮 您 看 一下 因为 我 看 一下 您 这个 号码 是 那个 个人 名称 登记 的 我们 一般 纳税人 识别 号 都 是 由 公司 名称 才 会 有 哎 它 会 有 那个 税 纳税人 识别 号   那 我 现在 需要 开 呃 就是 带有 纳税人 识别 号 的 是 怎么 怎么 做 呃 我们 这边 是 这样 的 我们 可以 帮 您 把 纳税人 识别 号 加上 去   但是 到时候 会 不会 就是说 显示 出来 这个 是 需要 您 自己 就是说 呃 就是 到时候 看 一下 发票 上 有没有   噢 那 怎么 加 呢
您好 很 高兴 为您服务 喂 你好 您好   我 这个 号码 是 上海 的 号码 我 现在 在 外面 在 外地 的话 我 就 这个 号码 不想 让 我 怎么弄 呢   不想 用 了 您 要 销户 吗   对 对 对   那像 我 只能 到 上海 移动 营业厅 上   呃 外地 销 不了 是 吧
您好 很 高兴 为您服务   喂 你好 我 这边 想 咨询 一下 就是 呃 单位 想办 那个 集团 号 是 怎样 办理 的   是 呃 是 办 公司 的 短号 服务 员工 之间 打电话 有 优惠 吗   对 的   如果 您 要 把 一些 短号 的话 你 把 公司 名称 办公 地址 再 留个 联系电话 给 我 稍后 我们 会派 专员 的 他们 会 联系 您 跟 你 说 一下 价格 和 办理 流程   好 是 呃 公司 名称 还是 什么
您好 很 高兴 为您服务   喂喂 我 我 的 手机卡 丢 了 怎么办   哎 对 了 要 挂失 吗 是 是 上海 移动 号码 吗 对 啊 上海 的 不要 挂要 需要 挂失 吗 要 挂失 号码 请报 一下   就是 挂失 她 说 不 挂失 重新 补 一个月 还有 用 吗 可以 听到 如果 如果 我 不 挂失 重新 再 补 一张 另外 那个 卡 还有 用 吗   挂失 或者 不 挂失 都 可以 带 身份证 到 营业厅 补卡 挂失 没关系   就是 如果说 我 不 挂失 的话 就是 呃 我 直接 就 补 一张 卡 另外 那个 卡 还有 用 吗 一直
您好 很 高兴 服务   喂 你好 我 想 请问 一下 现在 那个 就是说 这个 手机 的 这个 现在 这个 话费 账单 不是 纸质 账单 吗 上网 可以 直接 打印 的 吗 我 现在 这个 发票 正常 在 哪个 地方 呀 对   发票 的话 这边 帮 您 进行 一个 呃 呃 就是 发送 发送到 您 幺 三九 邮箱 里面 您 现在 打印 出来 是 报销 用 的 需要 帮 您 发送 一下 吗   呃 需要 对 我 已经   用户 密码 知道 吗 先生   知道
您好 很 高兴 为您服务   请问 一下 你 这个 小叫 魔卡 是 怎么 办理   请问 卡 的话 您 按照 你 现在 本机 都 要 去 办 的话 目前 是 五十 八块钱 它 里面 的话 是 有 带 一 百兆 的 流量 然后 如果 打电话 呢 正常 是 按照 一毛 九 一分钟 来 计算 的   呃 那个 流量 是 怎么 用 呢   流量 他 每个 月 有 一 百兆 国内 通用 的 然后 如果 您 用 完 之后 如果 您 在 上海 本地 继续 上网 咱们 当天 会收 您 一块钱 然后 再 给 您 一天 用 的 五百 兆 然后 超出 之后 当天 可以 无限 次 叠加 如果 在 外地 上网 就是 按照 两毛九一兆 计算 的 然后 每次 扣 到 十块 给 您 一 百兆 是 这 样子 来算   呃国 国内 流量 出来 流量 是 怎么
您好 很 高兴 为您服务   喂 你好   您好   呃 我 想 咨询 一下 我 有 我 另外 一部 手机 上 那个 就是 呃 流量 有 一个 呃 呃 就是 一个 小孩 我 想 你 把 那个 流量 那个 完 了 那个 就是 那个 操作 流量 那么 这个 怎么 退费   问 您 号码 多少   幺 三九
您好 很 高兴 为您服务   唉 你好 我 想 问 一下 就是 我 我 在 那个 就是 你们 移动 的 嗯 官 网上 订 了 一张 那个 就是 小 摩擦 那个 卡 但是 我卡 收到 之后 然后 昨天 激活 结果 他 给我发 个 短信 说 我 九十天 什么 有 一张 卡 激活 过 然后 那 我 那 身份证 到 那个 那个 什么 营业厅 去 那个 是 什么 什么 意思 啊 那种   您 是 要 办过 什么 其他 的 sim 卡 吗   嗯 是 我 在 上 上上个月 吧 办 了 一个 那个 嗯 全球通 的 那种   就是 您 要 办理 一张 新 的 普通 的 sim 卡 然后 您 要 去 买 了 没有 电视 激活 了 一个 小模 卡 的 一个 新 两张 卡是 吗   哎 额外
您好 很 高兴 为您服务   先生 你好 我 想 问 一下 就是 我 的 移动 公司 刚买 了 一个 那个   什么 狗 买 了 一个 什么   就是 营业厅 就是 现在   就是 那个 什么   也 一一 百兆 能 听到 了
您好 很 高兴 为您服务   呃 你好 我 就是 手机 被 偷 了 如果 要 呃 停 这个 号 的话 要 怎么 怎么 做 就   通话 那 就 带 好 二代 有效 身份证 本人 去 上海 移动 厅 办理 是 那个 号码 的话 有没有 参加 过 什么 活动 啊   那个 号码 应该 没有 把 你 给 的 活动 是   承诺 消费 活动 啊 有 最低 消费 有 协议 期 啊 或者 是 有 办理 过 家庭 去 了 有 吗 有 的话 呢 取消 不了 的 我 看 一下 吧 您 把 号码 报 一下   幺 三五 零
很 高兴 为您服务   喂 你好   请 说   我 想 问 一下 我 这个 pos 机是 充 点卡 怎么 冲 流量 呢   喂充 流量 您 是 什么 卡 你 刚刚 说 客户 联系 一下 啊 不是 飞 里面 对 吧 这个 机 里面 的话 我 帮 您 转到 我们 的 专席 问 一下 有个 专线 的 我 帮 您 转接 过去 问 一下 好 的 帮 他 解决问题 我 将 电话 转接 专席 处理 请稍等
您好 很 高兴 服务 哎 我 想 问 一下 我 这个 不是 卡 的 好 哎 他 那个 这个 电话费 跟 他 说 流量 是 怎么 查 啊   使用 情况 对 吧 发幺 零九幺 到 幺 零零 八六 进行 查证   幺 零 九 幺 是 吧   发给 幺 零零 八六查 现在 人工 查 不了 吗 刚刚 看到   噢 谢谢 啊
为您服务   您好 唉   你好 是 这样 的 我 想 咨询 一下 就是 因为 我 那个 就是 有 工商银行 给我发 那种 比如说 改动 这样 的 交易 明细 收 短信 吗 我 就是 收不到 然后 那个 我 想 确认 一下 是不是 是 说 我 不 担心 做过 那种 那 自己 取消   就是 这个 号码 发过来 的 那个 短信   服务   我 帮 我 帮 您 看 了 一下 点 被 别人 短信 功能 你 有 的 这个 短信 功能 这边 没有 问题 您 这边 手 也 没有 通过 我们 这边 屏蔽 过 这种 类似 的 信息 但 手机 上面 屏蔽 我 看不到 您 可以 那个 先 发送 五个 要 到 那个 就是 那个 银行卡 端口 进行 恢复 看 一下 让 他们 重新 再 下发 一下 看 一下 能否 收到
很 高兴 为您服务   唉 你好 刚才 我 打 你们 幺 零零 八六 全国 办张 银行卡 他 是 把 地址 发给 我 手机 上 现在 没 办法   您 是 要 哪个 营业厅 的 地址   不是 上海 的 那种 两个 营业厅 可以 办 那个 在 外地 号码   对 一个 是 长寿路 一个 是 十弄 那个   对 因为 我 我 不 知道 具体 在 哪边 把 那个 地址 发 我 手机 上面 不 就行了 吗 好 的 手机号码 那 我 这边 就 先 发到 您 手机 上
不要 挂机 您 拨打   喂   您好 刚才 没 声音 了 我 再 打 过来   你好 你好 谢谢 呃 我 想 我 想 问 一下 我 应该 是 怎么 改 的 你 告诉 我   什么 什么 套餐   喂
对 啊   您好 很 高兴 为您服务 您好   喂 你好 我 我 我 想 请问 一下 因为 我 那个 有 有线通 嘛 我 我 想 这 宽带 我 想 退掉 他 现在 它 我 要 呃 百在 这 怎么 去 退 呀   但是 我们 移动 和 东方 有线 合作 的 还是 说 单独 的 东方 有线 的 宽带 的   嗯 嗯 东方 有线   跟 就是 办 他们 自己 的 那个 宽带 是 吗
您好 很 高兴 为您服务   喂 你好 你好 我 想 那个 把 这个 套餐 里面 的 流量 怎么 增加 的话 要 改 套餐 是   呃 就是 流量 升 一下 是 吧 剩下 那 您 要 看 一下 现在 是 六十八 的 呃 现在 是 五十八 的 套餐 加 五块 钱彩铃 那么 五十八 改改 的 内容 多 一档 那么 您 现在 是 五十分钟 通话 加 两个 g 流量 的话 六 十八块   六十 八块钱 的话 是 两个 g 的 流量 是 吧   对 通话 不变 五十分钟 那 六位数 的   它 就是 三天 还 生效 还是 下个月 是不是
什么 三四 很 高兴 为您服务   喂 你好 我 我 这个 就是 我 想 问 一下 我 这个 卡号 流量 怎么弄 呀   是 来电 的 手机号码 吗 知道   对 就 这个 报错 吗   因为 这个 号码 不是 我们 上海 的 我 帮 您 转到 你 归属 地 移动 可以 可以 查 一下 请稍等
您好 高兴 您 服务   我 问 一下 我 那个 和 那个 积分换 那个 流量   积分 兑换 流量 是 吧   对 对   可以 那 我 把 积分 兑换 流量 的 一个 方式 下 发给您 请 您 稍后 根据 短信内容 操作 一下 好 吧 但是 我 提示 您 一下 积分 兑换 流量 当月 流量 要用 完 的 不 累积 的 嗯 知道 了 请问 还有 什么 可以 帮 您 的 如果 您 对 服务满意 请 给予 十分 评价
嗯 喂 您好 很 高兴 为您服务 唉 你好 就是 我 想 那个 我 这边 有 一个 集团 扣 就是 那个 宽带 我 现在 不想 用 的 是 注销 流程 是 多少   公司 宽带 要 注销 吗 这个 您 联系 客户经理 那边 办 的   只能 到 客户经理 这边 办 吗   嗯 对 的 我们 这里 不能取消 业务 的   噢 好 的 到 营业厅 可以 直接 去 吧   嗯 因为 公司 业务 他 都 是 通过 客户经理 去 办 的 所以 您 最好 直接 先 联系 一下 客户经理
很 高兴 为您服务   喂 你好 我 想 问 一下 那个 呃 就是 如果 我 到 泰国 去 大概 八天 吧   嗯 嗯   然后 那个 我 开通 那个 国际漫游 可以 的 是 吧   可以 啊 国际漫游 的话 有 长期 的 一百八十 天 呢 还有 三十天 的 都 是 没有 功能 费 的   呃 就是 是 他 那个 他 收费 怎么 收 的 所以 我 觉得
您好 兴 为您服务   嗯 嗯 你好 我 想 问 一下 这个 现在 这个 移动 数据 流量 是 怎么办 的 呀   流量 的话 就是 您 是 哪 一种 是 另外 叠加 那个 还是 是 还有 套餐 里面 每个 月 的 那种 的 流量 套餐 呀   叠加 的 叠加 这种   叠加 对 吧 叠加 的话 是 这个 月 用 的 每个 月 用 的   上个月
恩 您好 很 高兴 为您服务   喂 唉 你好 你好 我 这边 是 呃 浦江镇 的 勇 送 六 然后 我 想 安装 宽带 业务 请问 怎么 安装 吗   浦江镇 哪个 区 的   在 闵行区   啊 什么 路 具体地址 您 给 我 一下 现在   有 送路 四五 五弄 十号 路
您好 很 高兴 为您服务   喂 你好 我 是 那个 微信 充值 以后 我 想要 一下 发票 怎么 要 啊   嗯 对 我们 这边 给 到 您 然后 这边 提醒 到 了 这个 充值 发票 嗯 以后 如果 再要 开 账单 发票 的话 未 将 这部分 金额 要 扣除 掉 的 噢   啊 好   知道 了 好 的 请问 您 本机 密码 知道 吗 六位数 的   嗯 不 知道
您好 很 高兴 为您服务 小姐 帮 我查 一下 我 这个 手机 继续 来 月 收 的 这个 哪个 号码 您 报 一下   幺 五八 零零   嗯 嗯   九零 七八 零八   啊 好 的   噢 密码 知道 吗
您好 高兴 服务   嗯 你 给 我查 一个 什么 名字   呃 那些 什么 问题 哪个 号码   我 不开 的 幺 三九 嗯 嗯 零 幺 六二 四四二 幺 二   密码 知道 吗   密码 不 知道
您好 兴 您 服务 您好   唉 你好 看到 泰国 这个 流量 包 怎么弄   可以 通过 什么   那 这边 是   去 几天 它   是 那个 里边 的话
您好 很 高兴 为您服务   喂 你好 哦 是 这样 的 就是 我 手机 之前 办理 的 是 一百零八 块钱 每个 月 那个 套餐 然后 这个 套餐 它 是 有 那个 宽带 的 嗯 嗯 是 这样 的 然后 我 现在 是 但是 另外 一个 地方 住 然后 之前 我 那个 宽带 怎么 一到 现在 住 的 地方 呢   噢 好 的 那 宽带 移机 的 问题 我 帮 您 转接 专席 处理 请 您 稍 等 不要 挂 啊   噢 行 了 还有 一个 我们 开始 转过 去 但是 那边 一直 没有 人接 是 吗   噢 我 看 一下 现在 还有 一个 人 排队 要 不 您 再 耐心 等待 一下   唉行 那 好 的 好 的
为您服务   喂 你好 我 问 一下 我 那个 手机 那个 集团 到 了 四千多 换 那个 流换 那个 完 这 积分 吗 两千五百 换 三十块 钱 嘛   嗯 嗯 好   我 怎么 兑换 呀   发短信 我 帮 您 更换 代码 发给您 一下 把 我 最后 一天 不能 换   嗯 嗯 我 知道 我 再 问 一下 我 这个 四千多 分能 换 什么
您好 很 高兴 为您服务   喂 你好 我 是 我 想 那个 消费 一点 八一 三 八八 一百零八 块钱 是 吧 然后 东方 的   嗯 哦 您 的   问题 吗 这个 是 你 自己 上门来 还是 我 营业厅 办理 的   我们 可以 帮 您 约 然后 师傅 上门 安装 一个 什么 地方 装 呢   这些 吗 的 要 登
您好 高兴 为您服务   按 您 的 宽带 业务 对 不 对   有 什么 问题   呃 我 刚刚 已经 操作 了 对 然后 就是说 呃 就是 在 同一个 地址 装 了 一个 宽带 然后 现在 要 销户 因为 移动 的话 不好 意 就 把 它 移机 的话 不太好 以 我 这边 也 不 需要 一 现在 就是说 我 如果 做 销户 的话 是 怎么 处理 我报 一下 话费 吗 幺 五零   嗯 嗯   二 幺 二五
为您服务 您好   哎 你好 我 想 咨询 一下 吧 就是 我 手机 那个 办理 的 这个 宽带 业务 怎么 怎么弄   如果 您 要 这个 号码 办宽 办 那个 家庭 承诺 消费 的 业务 还是 说 个人 承诺 消费   我 不 知道 因为 我 这个 手机 原来 是 有 那个 家庭 套餐 的 嘛 因为 它 显示 有 签 协议 的 然后 我 不 知道 这个 套餐 业务 是 可以 叠加 的 呢 还是 要 我 等 我 这个 业务 结束 了 才能 签 那个   叠加 就行了   谁 的 就 行 那 我 现在 的话 我 家庭 的 如果 是 我 也 不 知道 我
