你好 请 讲 其他   先生 嗯 请 讲
您好 很 高兴 服务   四 g 流量 对 吧 他 要 下载 一个 咪咕 客户端 咪咕 视频 客户端 在 这个 客户端 里面 使用 的 一个 流量 是 免费送 的 三个 g
您好 很 高兴 为您服务   现在 是 自选 套餐 七十八 块 的 是 那个 一百 分钟 和 一 g 流量 另外 还有 个 三块 钱 来电 提醒
您好 很 高兴 服务   套餐 活动 对 吧 您 说 的 不用 是 一 六年 十一月 一号 开始 的 到 一 七年 十月底 结束
您好 很 高兴 为您服务   请 稍等一下
您好 很 高兴 为您服务   那 我 帮 您 看 一下 请稍等
您好 很 高兴 为您服务   对
看 一下   因为 我 这边 的话 帮 您 看 了 一下 你们 的 流量 共享 包 功能 的话 已经 办理 好 了 下个月 一号 生效 您 这边 的话 共享 给 两个 号码
您好 兴 为您服务 您好   我 现在 目前 没有 开
您好 兴 为您服务 您好   您好 请 说
您好 很 高兴 为您服务   嗯 对
您好 很 高兴 为您服务   嗯 嗯 好 的 我 看 一下 本 机号码 对 吧 关于 之前 开 过 一次 开 三十天 的
您好 很 高兴 为您服务   呃 四 g 的 乱七八糟 的 那种 那种 那种 那个 消费 的 有 吧 上面 这边 显示 有 开通 一个 幺 二 五八 零 生活 播报 这项 业务 其他 倒 没 别的
您好 兴 服务   刚刚 是 一百三十八 元飞享 套餐 再 加 一个 五十块 钱 一个 g 流量 包
好 的 您好 很 高兴 为您服务   它 是不是 要
您好 很 高兴 为您服务   嗯 我 看 一下 啊
先生 您好 很 高兴 服务   然后
很 高兴 服务   您好 请 讲
您好 很 高兴 为您服务 您好   喂 您好
您好 很 高兴 为您服务   请 说
您好 兴 为您服务 您好   帮 您 看 一下 呃 目前 的话 是 一百五十 八元 套餐 然后 下个月 换 了 一个 八十八 元 套餐
您好 很 高兴 为您服务   好 的 您 的 套餐 是 一个 十八块 钱 四 g 飞享 套餐 一 百兆 流量 国内 主叫 一毛 九 一分钟 全国 接听 免费 的
您好 很 高兴 为您服务   啊 您 说
很 高兴 为您服务   套餐 两百 一十八 的 有 一 g 流量 然后 一千 分钟 通话时间
您好 请 讲 谢谢 哎 我 想 问 一下 我 这个 月 的 就是 套餐 是 什么 套餐 八十八 套餐 两个 g 流量 五十分钟 通话 五十分钟 通话 是 吧 对 没有 了 没 没有 了 对 啊 一个 g 两个 g 流量 两个 g 是 吧 嗯 嗯   嗯 嗯 别 别的 没有 那 我 那个 上面 好像 应该 有 赠送 的 是 吧 对 送 的 还是 会 送 的 就 每个 月 还是 还是 送 的 是 吧 对 是 的 行
您好 兴 为您服务 您好   幺 七 四六
您好 很 高兴 为您服务   查 到 下个月 我 的 套餐 是 什么 吗 因为 我 好像 改了 套餐 这个 月 是 十六块 畅听卡 下个月 您 改 的 是 五十八 的 一百分 通话 五百 兆 流量 的 超出 打电话 呢 一毛 九 一分钟
您好 很 高兴 为您服务   号码 报 一下
您好 很 高兴 为您服务   嗯 目前 您 是 自选 套餐 是 那个 一百 分钟 通话 和 三百 兆 流量 这个 月 下个月 改为 一百 分钟 和 五百 兆 流量 就 从 七月 一号 才 显示 五 十八块 一个月
噢 您好 很 高兴 为您服务 请 说 嗯 嗯   嗯 对
幺 您好 很 高兴 为您服务 谢谢 吗   套餐 目前 我 看 一下 一百五十 八 的 套餐
您好 很 高兴 服务   我能 不能
您好 很 高兴 为您服务   宽带 连续 是 吧
您好 很 高兴 为您服务   我 跟 你 说出 国内 的 是 吧 宽带 您 国际漫游 是 开 着 的 之前 是 在 嗯 之前 是 在 十一月 三十 s 今天 刚开 的
您好 很 高兴 为您服务   是 这个 本 机 来电 的 号码 对 吧 现在 绑定 的 我 看 一下 啊 您 稍 等 啊 宝山区 这个 宽带 线 我查 了 一下 协议 是 到 今年 二零一 七年 十一月 一号 到期
您好 很 高兴 为您服务   额 您 现在 手机 用 的 是 两百 三十八 元 呃 两百 三十八 元飞享 套餐 然后 上个月 换成 下个月 换成 新 的 也 是 两百 三十八 流量 的话 是 呃 通话时间 一千 分钟 不变 的 流量 是 给 您 三个 g 流量 然后 到 明年 六月 底 可以 再 加送 您 三个 g 国内 流量 一个月 六个 g
您好 很 高兴 为您服务   您 这个 的话 就 一个 小模 卡 然后 有 一个 赠送 的 和 留言 彩铃 和 和 彩印 就 下 月 帮 您 取消 吗
下个月 套餐 我 看 了 一下 有过 调整 过 了 我 看 一下   没有 没有 之前 是 一百二十八 加 了 一个 五十块 所以 本来 应该 是 一百七十 八块 下个月 改 七十八 改成 一百五十 八块 但是 分钟 通话 在 五个 g 流量 活动 再 送 五个 g 流量
您好 很 高兴 为您服务   啊 您 现在 的话 八块钱 的 月租 国内 主叫 是 一毛 九 一分钟 的 全国 接听 免费
您好 很 高兴 为您服务   恩
您好 很 高兴 为您服务   啊 套餐 您 这个 月 用 的 是 一百二十八 加上 一百块 流量 是 两百 二十八 的 然后 下个月 您 换 了 我们 换成 我们 一百五十 八 的 全球通 新版 的 那个 飞享 套餐 自选 套餐 通话时间 那 就 呃 通话时间 五百 分钟 流量 是 给 您 三个 g 国内 流量 然后 从 下个月 开始 还有 个 活动 到 明年 六月 底 每个 月 再 多 送 您 三个 一个月 六个
你好 您好 很 高兴 为您服务 你好 工号 幺 零三 幺 三   噢 好 的 以后 您 要 查询 和 办 业务 的话 可以 关注 我们 中国移动 幺 零零 八六微 信号 帮 您 转 后台 的 那个 专席 流量 费 还有 其他 方面 的 话费 生效 关 关键问题 我 将 您 电话 转接 专席 处理 请稍等   您好 很 高兴 为您服务   现在 是 三十八 元 的 四 g 飞享 套餐 就是 五十分钟 通话 和 三百 兆 流量 的
节日 好 很 高兴 为您服务   那 我 帮 您 看 一下 您 是 说 国际漫游 吗
您好 很 高兴 为您服务 您好   套餐 是 一个 五十八 元 套餐 然后 后面 又 加过 一个 二十元 流量 包 加载 那个 二十元 流量 包 如果 需要 可以 帮 您 关闭 一下
很 高兴 为您服务   我 看 一下 啊 稍等一下 幺 五九 零零 九对 吧 五二 五二 幺
上个月 的话 就是 这个 要 申请 一下 的 您 要 回复 那个 短信 申请 才 有 的 不 申请 的话 它 就 不 享受 那个 活动 呢   那个 收 短信 是 吧
您好 兴 为您服务 您好 嗯   上网 功能 被 关掉 了
您好 很 高兴 服务   唉 对
您 本身 是 到 这个 月底 到期 的 不过 您 这个 宽带 是 自动 续约 后面 游戏 里面 了   如果 不 需要的话 呢 那 您 就 直接 在 这个 月底 之前 带 好 身份证 设备 去 那个 宝山区 的 营业厅 办理 一下 注销 就 好 了
很 高兴 为您服务   呃 对 我 知道 了 呃 您 上网 功能 是 被 关闭 的 要 打开 吗
您好 很 高兴 为您服务   嗯 请问 什么 问题 三五 八五 二 幺
您好   套餐 目前 是 七十八 元 的 那个 功能
您好 很 高兴 为您服务   套餐 嗯 套餐 部分 现在 是 十六块 钱 神州行 畅听卡 然后 一个 二十块 钱 三百 兆 流量 还有 一个 一元 钱 的 ip 长途 优惠 包 一共 是 三十七 块
对   改 什么 改低 的 是 吧
您好 很 高兴 为您服务   订 哪个 套餐 好 您 稍 等 您 这 号码 现在 是 订 的 是 一个 自选 套餐 总共 是 六十八 的 然后 一 百兆 流量 刚才 通 通话 他 是 打电话 一毛 九 一分钟 然后 全国 接听 免费 的 然后 有 一个 优酷 的 视频 流量 包 其他 就 没有 了 就 这么 多
您好 很 高兴 为您服务 你 帮 我 看 一下 我 的 漫游 开通 了 了 幺 三七 零 幺 六 七八 幺 二七 昨天 我 打电话 过来 的 幺 三七 零 后面 多少 幺 幺 六七 嗯 八 幺 二七 三 幺 二七   好 的 那 请 输 一下 密码 没 问题 是 属于 先生 密码 验证 件 嗯 通过 这边 看 了 一下 国际漫游 有 超过 三十天 的
您好 很 高兴 为您服务   对 有 个 十块钱 一 百兆 流量
您好 很 高兴 为您服务   恩好 的 嗯 没 有关 您 开 的 是 长期有效 的 不用 管 的
您好 很 高兴 为您服务   姓名 您 手机号码 麻烦 报 一下 幺 三七 恩
您好 很 高兴 为您服务   本 机号码 看 一下 上网 功能 呃 上网 功能 是 关闭 的 状态 上网 功能 关闭 的
套餐 对 吧 套餐 的话 七十八 已经 生效 了 呀 办好 了   每月 五号 返还 给 您 话费
为您服务   嗯 嗯 对 是 的
您好 很 高兴 为您服务   套餐 的话 是 每个 月 固定 的 一个 月租费 是 五十八 元 五十八 元 然后 的话 我 看 一下 啊 五十八 元 的话 您 是 四十八 元 档次 的 一个 语音 包 就是 有 两百 二十分钟 数 嗯 然后 的话 是 一 百兆 流量
您好 很 高兴 为您服务   嗯 宽带 到期 了 您 现在 是 要 续约 的 吗 还是
您好 很 高兴 为您服务   九十八 的 一百 分钟 通话 两个 g 的 全国 都 通用 流量
您好 很 高兴 为您服务   幺 三 六六 幺 九九 五六
您好 很 高兴 为您服务   你好
您好 很 高兴 为您服务   好 的 您 现在 是 一个 套餐 是 一个 九十八 的 一 g 的 流量 两百 二十分钟 通话 的 超出 打电话 一毛 九 一分钟 全国 接听 免费
您好 很 高兴 为您服务   呃 这个 宽带 问题 这边 要 帮 您 转 宽带 专席 咨询 请 您 稍 等 不要 挂 啊
您好 很 高兴 为您服务 你好   嗯 我 想 问 一下 我 这个 月 用 的 是 块钱 的 套餐 呢 恩 对 三百 分钟 通话 时 长 七百 兆 的 流量 吗 因为 嗯 嗯 想 改回来 因为 我 前两天 说 升级 让 我 想 改回来 还是 恢复 原来 的 八十八 的 这个 两百 二十分钟 七百 兆 流量 的 是 吧 不是 三百 分钟 吗 没有 三百 分钟 是因为 您 另外 有 活动 送 了 您 的 五八 十分钟 这 活动 到 这个 月 就 结束 了 它 是 这个 活动 搞 到 一 七年 六月份 的 这个 月 本身 就 最后 一个月 了 所以 您 从 下个月 开始 对 您 就 两百 二十分钟 七百 兆 流量 的
您好 很 高兴 为您服务   呃 有 您 要么 说 是 那个 嗯 九十 八块钱 套餐 两百 二十分钟 通话 流量 两个 g 流量 然后 再 额外 赠送给 您 两个 g 流量 赠送 到 二零一 八年 六月 底 结束
您好 很 高兴 服务   下 月 套餐 对 吧 现在 套餐 的话 您 就是 八十八 一个月 三百 分钟 通话 五百 兆 流量 八十八
很 高兴 为您服务   这个 手机号码 办 的 宽带 吗 是 这样 的
知道   显示 套餐 只有 六十 八块钱 呢 下个月 六十八 元 套餐 加 一个 三元 来电 提醒您 是 什么 短信 通知 您 呢 下个月 扣除 四十多 块钱 吗
您好 很 高兴 为您服务   嗯 对 是 的 改 了 他 现在 那个 短信 发送 过来 说 还有 赠送 三个 g 的 国内 流量 什么 意思 啊 我 到 现在 没看 懂 它 那个 活动 送 的 就 出来 三个 g 另外 再 免费送 您 三个 g 咱们 的 营业厅 不是 你 你 说 你 说 慢 一点
套餐 对 吗 对 套餐 您 目前 使用 的 是 一个 一百零八 块 一个月 送 您 三百 分钟 通话 一个 g 的 流量 一百零八 的 固定 月租费 就是 另外 您 有 一个 十块钱 的 流量 包 还有 个 三块 钱 的 新闻 早晚 报 手机 阅读 上海 手机 报 现在 这个 业务   对 本月 开始 噢 上个月 呃 五月 一号 开始 的 啊 五月 一号 开始 的
您好 很 高兴 为您服务   你好
您好 很 高兴 为您服务   噢 你 说 先生
您好 很 高兴 为您服务   你好
好 很 高兴 为您服务   呃 是 家庭 宽带 吗
高兴 您 服务   请 讲
您好 兴 为您服务   套餐 我 看 一下 稍 等
您好 很 高兴 为您服务   十八元 的 飞享 套餐 一 百兆 流量 打电话 一毛 九 全国 多少
您好 很 高兴 为您服务   二月份 的 稍 等 我 看 一下 啊 幺 八六 我 还 哦 对 二四六 六 十八块 我 哎 嗯 好 的
特殊 复 号码   这 这个 月 的
您好 很 高兴 为您服务   嗯 本 机号码 目前 是 十八元 的 那个 网聊 套餐 其他 有个 三块 钱 来电 提醒 总共 二十一 块钱
为您服务   我 帮 您 查询 一下 请稍等 或者 他 没 看 要 帮 您 开通 吗
您好 兴 为您服务 您好   目前 就 一个 八十八 元 套餐 没有 额外收费 业务
您好 很 高兴 为您服务   你好
高兴 您 服务   对
您好 很 高兴 服务   呃 很 抱歉 女士 目前 的话 我们 系统 在 升级 维护 进不去 系统 的 现在 只有 声音 只能 听到 声音 就是说 您 麻烦 您 过 两个 小时 之后 再 来电 做 相关 的 一个 查询 看 你 有没有 国际漫游 或者 办理 都 可以 实在 抱歉 啊
您好 很 高兴 为您服务   是 家里 的 宽带 还是 公司 宽带
很 高兴 为您服务   好 的 帮 您 开通 一下 密码 知道 吗
您好 很 高兴 为您服务   喂 你好 先生
为您服务 您好   对
很 高兴 为您服务   您 这 上面 没有 办过 宽带 啊
高兴 您 服务   好 的 像 您 这 号码 是 四 g 自选 套餐 六十 八块钱 一个月 应该 是 五十分钟 两个 g 流量 都 在
您好 很 高兴 为您服务   嗯
您好 很 高兴 服务   套餐 的话 额外 流量 包 没有 订购
什么 东西 还 没 短信 提示 啊 也 不是 我 本来 一个 手机号码 你 能 报 幺 三 六四 幺 幺 三 六 嗯 嗯 四 幺 九   手机 密码 知道 吗 手机 密码 报 报 一下 身份证 号码 姓名 吧
您好 很 高兴 为您服务   这个 暂时 没有 都 是 要 付钱 出来 的
您好 很 高兴 为您服务   呃 我 这个 手机 之前 办 了 一个 套餐 吗
您好 很 高兴 为您服务   所以 您 这边 办 的 是 一 百兆 的
喂 你好   原来 是 五块 钱 的 老年 卡 就 现在 是 八块钱 的 四飞享 套餐 是 关爱 版
您好 兴 为您服务 您好 你好 帮 我查 一下 我 的 套餐 套餐 按照 您 目前 的话 是 自选 套餐 然后 您 下个月 的话 流量 升级 两个 g 其他 没有 别的   不 限 这个 月 的话 是 自己 原本 套餐 里面 的 流量 是 小于 一个 g 的 一个 前提 就是 那么 如果 您 之前 一个 上线 的话 我们 他 是 会 有 两 g 送 两 g 额外 再 给 您 三个 g 的 咪 咕 视频 流量 但 如果 您 看 它 本身 属于 在 那个 一个 g 的 阶段 如果 您 要 进行 档次 如果 没有 直接 提现 的话 这个 是 没有 的
您好 很 高兴 为您服务   您 现在 这 手机 套餐 的话 就是 那个 一 十八块 钱 月租 五百 分钟 全国 通话 五百 兆 流量
您好 很 高兴 服务   派 人 对 吧 您 这边 的话 彩铃 功能 是 有 的
我 看 一下   五十八 的 什么 套餐 您
您好 高兴 为您服务 您好   对 是 的 两年 的
您好 很 高兴 为您服务   流量 兆 流量 是 这个 月 最后 一个月 了
您好 很 高兴 为您服务   不用 的 这个 套餐 里面 包含 的 就 十八块 钱 一个月 来电显示 送 的 嗯 嗯
您好 很 高兴 服务   那种 五
您好 很 高兴 为您服务   您 来电 号 是 有 办过 宽带 的 然后 是 到 六月 底 结束 了 不过 您 到期 没有 去 注销 也 没有 续约 他 现在 是 按天 收费 的 一天 三块 五
